date,sum
01.01.2020,33763
02.01.2020,33999
03.01.2020,76199
04.01.2020,64480
05.01.2020,44614
06.01.2020,96285
07.01.2020,90886
08.01.2020,88883
09.01.2020,92275
10.01.2020,100223
11.01.2020,71259
12.01.2020,36917
13.01.2020,94512
14.01.2020,110648
15.01.2020,96281
16.01.2020,92398
17.01.2020,91605
18.01.2020,50514
19.01.2020,45220
20.01.2020,92502
21.01.2020,93000
22.01.2020,77922
23.01.2020,90518
24.01.2020,95402
25.01.2020,66573
26.01.2020,50822
27.01.2020,81253
28.01.2020,97133
29.01.2020,103545
30.01.2020,95107
31.01.2020,92649
01.02.2020,64028
02.02.2020,40852
03.02.2020,76679
04.02.2020,80757
05.02.2020,88996
06.02.2020,68692
07.02.2020,86004
08.02.2020,64417
09.02.2020,41916
10.02.2020,87874
11.02.2020,91936
12.02.2020,104288
13.02.2020,90050
14.02.2020,101191
15.02.2020,74124
16.02.2020,41371
17.02.2020,81339
18.02.2020,93851
19.02.2020,84056
20.02.2020,92737
21.02.2020,90782
22.02.2020,65167
23.02.2020,34595
24.02.2020,91038
25.02.2020,91129
26.02.2020,101846
27.02.2020,54223
28.02.2020,77675
29.02.2020,33179
01.03.2020,42705
02.03.2020,88311
03.03.2020,86133
04.03.2020,83892
05.03.2020,96338
06.03.2020,86216
07.03.2020,59579
08.03.2020,39697
09.03.2020,80963
10.03.2020,78363
11.03.2020,81232
12.03.2020,80839
13.03.2020,79702
14.03.2020,38989
15.03.2020,26552
16.03.2020,48225
17.03.2020,32118
18.03.2020,28058
19.03.2020,24638
20.03.2020,19854
21.03.2020,13934
22.03.2020,7362
23.03.2020,19791
24.03.2020,16503
25.03.2020,19608
26.03.2020,21628
27.03.2020,19556
28.03.2020,15927
29.03.2020,7499
30.03.2020,20669
31.03.2020,22550
01.04.2020,22216
02.04.2020,22639
03.04.2020,23057
04.04.2020,16644
05.04.2020,9492
06.04.2020,20827
07.04.2020,21936
08.04.2020,25048
09.04.2020,23832
10.04.2020,2796
11.04.2020,19269
12.04.2020,10448
13.04.2020,3704
14.04.2020,21202
15.04.2020,22989
16.04.2020,23320
17.04.2020,21299
18.04.2020,17090
19.04.2020,12168
20.04.2020,25101
21.04.2020,25920
22.04.2020,27675
23.04.2020,26192
24.04.2020,30418
25.04.2020,15975
26.04.2020,12948
27.04.2020,25851
28.04.2020,33934
29.04.2020,31709
30.04.2020,34115
01.05.2020,35225
02.05.2020,29164
03.05.2020,17801
04.05.2020,33209
05.05.2020,35889
06.05.2020,31914
07.05.2020,32446
08.05.2020,34748
09.05.2020,22541
10.05.2020,18506
11.05.2020,37435
12.05.2020,40965
13.05.2020,41561
14.05.2020,43511
15.05.2020,44938
16.05.2020,29804
17.05.2020,19919
18.05.2020,36235
19.05.2020,42633
20.05.2020,49608
21.05.2020,26585
22.05.2020,42627
23.05.2020,33463
24.05.2020,22320
25.05.2020,41942
26.05.2020,46367
27.05.2020,43958
28.05.2020,49301
29.05.2020,51039
30.05.2020,39874
31.05.2020,23311
01.06.2020,22250
02.06.2020,43824
03.06.2020,50488
04.06.2020,54114
05.06.2020,52974
06.06.2020,49382
07.06.2020,21306
08.06.2020,51845
09.06.2020,58898
10.06.2020,61131
11.06.2020,59012
12.06.2020,67258
13.06.2020,45602
14.06.2020,28305
15.06.2020,52431
16.06.2020,59911
17.06.2020,60693
18.06.2020,61487
19.06.2020,68464
20.06.2020,48154
21.06.2020,30964
22.06.2020,53897
23.06.2020,56163
24.06.2020,62518
25.06.2020,65240
26.06.2020,61120
27.06.2020,49233
28.06.2020,29313
29.06.2020,55286
30.06.2020,62035
01.07.2020,60960
02.07.2020,55176
03.07.2020,56712
04.07.2020,48866
05.07.2020,30444
06.07.2020,49614
07.07.2020,52548
08.07.2020,52570
09.07.2020,56496
10.07.2020,56985
11.07.2020,48695
12.07.2020,26589
13.07.2020,45318
14.07.2020,50509
15.07.2020,47081
16.07.2020,45154
17.07.2020,50708
18.07.2020,37906
19.07.2020,27943
20.07.2020,46362
21.07.2020,54036
22.07.2020,45925
23.07.2020,43189
24.07.2020,48497
25.07.2020,38654
26.07.2020,25641
27.07.2020,33767
28.07.2020,38186
29.07.2020,45591
30.07.2020,48349
31.07.2020,51997
01.08.2020,26574
02.08.2020,20721
03.08.2020,52917
04.08.2020,51449
05.08.2020,52490
06.08.2020,54134
07.08.2020,52968
08.08.2020,43280
09.08.2020,25041
10.08.2020,54644
11.08.2020,61173
12.08.2020,48210
13.08.2020,53488
14.08.2020,60247
15.08.2020,41429
16.08.2020,30588
17.08.2020,60139
18.08.2020,60824
19.08.2020,59380
20.08.2020,57858
21.08.2020,62243
22.08.2020,45386
23.08.2020,24931
24.08.2020,49709
25.08.2020,62552
26.08.2020,64322
27.08.2020,60443
28.08.2020,59629
29.08.2020,50541
30.08.2020,29778
31.08.2020,61285
01.09.2020,66711
02.09.2020,70950
03.09.2020,67320
04.09.2020,72498
05.09.2020,48178
06.09.2020,30240
07.09.2020,55134
08.09.2020,64156
09.09.2020,56515
10.09.2020,65141
11.09.2020,62123
12.09.2020,51987
13.09.2020,29662
14.09.2020,69743
15.09.2020,67577
16.09.2020,64689
17.09.2020,63217
18.09.2020,67063
19.09.2020,48391
20.09.2020,30896
21.09.2020,44223
22.09.2020,31710
23.09.2020,42339
24.09.2020,60089
25.09.2020,49049
26.09.2020,42801
27.09.2020,25645
28.09.2020,53754
29.09.2020,60307
30.09.2020,62042
01.10.2020,55187
02.10.2020,64211
03.10.2020,38527
04.10.2020,17432
05.10.2020,57549
06.10.2020,59572
07.10.2020,59743
08.10.2020,60970
09.10.2020,56183
10.10.2020,50412
11.10.2020,33267
12.10.2020,60025
13.10.2020,65801
14.10.2020,69193
15.10.2020,70987
16.10.2020,78246
17.10.2020,47421
18.10.2020,26636
19.10.2020,59930
20.10.2020,62758
21.10.2020,61579
22.10.2020,72228
23.10.2020,72429
24.10.2020,40620
25.10.2020,24491
26.10.2020,66109
27.10.2020,59041
28.10.2020,57464
29.10.2020,60226
30.10.2020,64271
31.10.2020,39868
01.11.2020,27875
02.11.2020,58559
03.11.2020,62926
04.11.2020,60743
05.11.2020,47179
06.11.2020,58691
07.11.2020,42001
08.11.2020,20511
09.11.2020,56149
10.11.2020,62063
11.11.2020,58011
12.11.2020,55549
13.11.2020,60113
14.11.2020,41518
15.11.2020,26725
16.11.2020,55856
17.11.2020,57481
18.11.2020,58261
19.11.2020,56286
20.11.2020,64075
21.11.2020,42525
22.11.2020,23657
23.11.2020,55092
24.11.2020,58242
25.11.2020,63329
26.11.2020,64105
27.11.2020,64747
28.11.2020,44251
29.11.2020,18002
30.11.2020,60631
01.12.2020,54804
02.12.2020,55367
03.12.2020,66208
04.12.2020,58426
05.12.2020,43397
06.12.2020,26063
07.12.2020,55949
08.12.2020,64089
09.12.2020,65399
10.12.2020,65369
11.12.2020,74060
12.12.2020,40757
13.12.2020,22083
14.12.2020,62440
15.12.2020,71475
16.12.2020,61950
17.12.2020,61299
18.12.2020,62983
19.12.2020,50070
20.12.2020,22788
21.12.2020,63425
22.12.2020,55454
23.12.2020,54292
24.12.2020,38415
25.12.2020,18842
26.12.2020,22377
27.12.2020,17441
28.12.2020,43198
29.12.2020,47132
30.12.2020,42487
31.12.2020,40013
